id,country,replied_to_tweet_id,replied_to_user_id,reply_text,tweet_text,tweet_lang,text_en,mentions,tweet_date,tweet_emoticons,hashtags,tweet_urls,text_es,text_hi,verified,sa
1465357251980505093,Mexico,1465304536998895623,151968088,"Cmo puso ""este sexenio durar seis aos pero doler toda la vida""","Cmo puso ""este sexenio durar seis aos pero doler toda la vida""",es,,"['RicardoAnayaC', 'ClaudioXGG']",2021-11-29T16:00:00Z,,,,"Cmo puso ""este sexenio durar seis aos pero doler toda la vida""",,,0.0
1465353918100041730,Mexico,1465304536998895623,151968088,"AMLO no es el cambio, pero tampoco este seor ni ninguna persona que este en la poltica mexicana.","AMLO no es el cambio, pero tampoco este seor ni ninguna persona que este en la poltica mexicana.",es,,['RicardoAnayaC'],2021-11-29T16:00:00Z,,,,"AMLO no es el cambio, pero tampoco este seor ni ninguna persona que este en la poltica mexicana.",,,0.0
1465353165109227525,Mexico,1465304536998895623,151968088,"Increble, siguen ladrando los perros, no se cansan, quieren seguir saqueando al pas poniendo cara de honesto, callado te ves mejor,","Increble, siguen ladrando los perros, no se cansan, quieren seguir saqueando al pas poniendo cara de honesto, callado te ves mejor,",es,,['RicardoAnayaC'],2021-11-29T16:00:00Z,,,,"Increble, siguen ladrando los perros, no se cansan, quieren seguir saqueando al pas poniendo cara de honesto, callado te ves mejor,",,,0.32
1465351786475278346,Mexico,1465304536998895623,151968088,Ah viene otro lindo mensaje del y disque interesado en los mexicanos.,Ah viene otro lindo mensaje del y disque interesado en los mexicanos.,es,,['RicardoAnayaC'],2021-11-29T16:00:00Z,['🙄'],"['Profugo', 'SobreActuado']",,Ah viene otro lindo mensaje del y disque interesado en los mexicanos.,,,0.425
1465351460166713347,Mexico,1465304536998895623,151968088,"Inaceptable!!!!!!!, amlkks, es un dictador de mi3rda!!!!!","Inaceptable!!!!!!!, amlkks, es un dictador de mi3rda!!!!!",es,,['RicardoAnayaC'],2021-11-29T16:00:00Z,,,,"Inaceptable!!!!!!!, amlkks, es un dictador de mi3rda!!!!!",,,-0.6103515625
1465349479477907459,Mexico,1465304536998895623,151968088,Jajaja jajajaja lo nico q le entereza los mexicanos es cuando vas rend cuenta con las autoridades ya q tienes una resabacion en el penal,Jajaja jajajaja lo nico q le entereza los mexicanos es cuando vas rend cuenta con las autoridades ya q tienes una resabacion en el penal,es,,['RicardoAnayaC'],2021-11-29T16:00:00Z,,,,Jajaja jajajaja lo nico q le entereza los mexicanos es cuando vas rend cuenta con las autoridades ya q tienes una resabacion en el penal,,,0.20833333333333331
1465349169841852422,Mexico,1465304536998895623,151968088,Pinche DUI ya durmete. t deja de estar PANdejeando.,Pinche DUI ya durmete. t deja de estar PANdejeando.,es,,['RicardoAnayaC'],2021-11-29T16:00:00Z,,,,Pinche DUI ya durmete. t deja de estar PANdejeando.,,,-0.4
1465348901003829250,Mexico,1465304536998895623,151968088,"Definitivamente Mxico NO tiene un presidente honesto como pregona, su finalidad es robar a manos llenas y mentalizar al pueblo tonto de que hace todo por ellos. Su decreto es para actuar con absoluta libertad y no rendir cuentas, sea corrupcin al %","Definitivamente Mxico NO tiene un presidente honesto como pregona, su finalidad es robar a manos llenas y mentalizar al pueblo tonto de que hace todo por ellos. Su decreto es para actuar con absoluta libertad y no rendir cuentas, sea corrupcin al %",es,,['RicardoAnayaC'],2021-11-29T16:00:00Z,,,,"Definitivamente Mxico NO tiene un presidente honesto como pregona, su finalidad es robar a manos llenas y mentalizar al pueblo tonto de que hace todo por ellos. Su decreto es para actuar con absoluta libertad y no rendir cuentas, sea corrupcin al %",,,0.05000000000000001
1465346823225327620,Mexico,1465304536998895623,151968088,"Es muy importante que la oposicin ya despierte de su letargo, se ponga a trabajar para poder retirar al partido gobernante y sacar a Mxico adelante de esta barbaridad en la que vivimos","Es muy importante que la oposicin ya despierte de su letargo, se ponga a trabajar para poder retirar al partido gobernante y sacar a Mxico adelante de esta barbaridad en la que vivimos",es,,['RicardoAnayaC'],2021-11-29T16:00:00Z,,,,"Es muy importante que la oposicin ya despierte de su letargo, se ponga a trabajar para poder retirar al partido gobernante y sacar a Mxico adelante de esta barbaridad en la que vivimos",,,0.38545454545454544
1465346396861734922,Mexico,1465304536998895623,151968088,Como el Fobaproa?,Como el Fobaproa?,es,,['RicardoAnayaC'],2021-11-29T16:00:00Z,,,,Como el Fobaproa?,,,0.0
